Position Number,Applicant ID,Applicant Status,Internal/External Applicant,Sex,Disabled,Disab Vet,Race/Ethnicity,Mil Status
10008.0,11190926,Rejected; Interview,External,Male,N,N,White,Not a Veteran
10008.0,15071183,Rejected; No Interview,External,Female,,,Asian,Not indicated
10008.0,31463813,Rejected; No Interview,External,Female,,,Black/African American,Not indicated
10008.0,37684974,Rejected; No Interview,External,Male,,,White,Not indicated
10008.0,44964139,Rejected; No Interview,External,Male,,,Black/African American,Not indicated
10008.0,49835862,Rejected; Min Qualifications Not Met,External,Male,N,N,White,Not a Veteran
10008.0,55897056,Rejected; No Interview,External,Male,N,N,White,Not a Protected Veteran
10008.0,60854620,Rejected; No Interview,External,Male,Y,N,White,Not a Veteran
10008.0,74628275,Rejected; No Interview,External,Female,,,White,Not indicated
10008.0,80169275,Rejected; Interview,External,Male,N,N,Asian,Not a Veteran
10008.0,93014198,Hired,External,Female,,,White,Not indicated
10011.0,13369599,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
10011.0,14034363,Rejected; No Interview,External,Female,,,Asian,Not indicated
10011.0,17303706,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
10011.0,18652527,Rejected; No Interview,External,Male,Y,N,Black/African American,Not a Veteran
10011.0,22547303,Rejected; No Interview,External,Female,,,Hispanic/Latino,Not indicated
10011.0,24323245,Rejected; No Interview,External,Female,,,White,Not indicated
10011.0,30468497,Rejected; No Interview,External,Female,Y,,Asian,Not indicated
10011.0,34065107,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
10011.0,38789234,Rejected; Interview,Internal,Male,,,White,Not indicated
10011.0,40155635,Rejected; No Interview,External,Female,,,White,Not indicated
10011.0,41342377,Rejected; No Interview,External,Male,,,Hispanic/Latino,Not indicated
10011.0,42486925,Rejected; No Interview,External,Female,,,White,Not indicated
10011.0,49503605,Rejected; No Interview,Internal,Male,N,N,Black/African American,Not a Veteran
10011.0,49786247,Rejected; No Interview,External,Female,Y,,Asian,Not indicated
10011.0,54944311,Rejected; No Interview,External,Female,,,Black/African American,Not indicated
10011.0,58349091,Rejected; No Interview,External,Male,,,White,Not indicated
10011.0,58608713,Rejected; No Interview,External,Male,Y,N,Hispanic/Latino,Not a Veteran
10011.0,65241879,Rejected; No Interview,Internal,Male,N,N,Asian,Not a Veteran
10011.0,77584526,Rejected; No Interview,External,Male,,,Asian,Not indicated
10011.0,78087822,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
10011.0,81490072,Rejected; Min Qualifications Not Met,External,Male,N,N,White,Not a Veteran
10011.0,87072696,Rejected; Interview,Internal,Female,,,White,Not indicated
10011.0,87316342,Rejected; No Interview,External,Female,,,Asian,Not indicated
10011.0,94379004,Hired,Internal,Male,,,White,Not indicated
10011.0,99229978,Rejected; Min Qualifications Not Met,External,Male,,,Asian,Not indicated
10021.0,21624789,Rejected; Interview,External,Female,Y,N,Asian,Not a Veteran
10021.0,22109409,Rejected; No Interview,External,Male,,,White,Not indicated
10021.0,22777652,Rejected; No Interview,External,Male,,,White,Not indicated
10021.0,39148737,Rejected; No Interview,External,Female,,,White,Not indicated
10021.0,42734521,Rejected; Interview,External,Female,Y,,White,Not indicated
10021.0,48535760,Hired,External,Female,Y,,White,Not indicated
10021.0,54110100,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
10021.0,64798786,Rejected; No Interview,External,Male,,,White,Not indicated
10021.0,68126777,Rejected; No Interview,External,Male,,,Black/African American,Not indicated
10021.0,93673373,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
10021.0,99546080,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
10026.0,12146431,Rejected; Interview,External,Female,,,White,Not indicated
10026.0,17775295,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
10026.0,21475807,Rejected; No Interview,External,Male,,,White,Not indicated
10026.0,21786926,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
10026.0,32113408,Rejected; No Interview,External,Female,,,White,Not indicated
10026.0,37179530,Rejected; No Interview,External,Male,,,Asian,Not indicated
10026.0,41687013,Rejected; Min Qualifications Not Met,External,Female,N,N,Asian,Not a Veteran
10026.0,45133400,Rejected; Min Qualifications Not Met,External,Female,N,N,American Indian/Alaska Native,Not a Veteran
10026.0,52114221,Rejected; No Interview,External,Male,N,N,Hispanic/Latino,Not a Veteran
10026.0,56406424,Rejected; Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
10026.0,62556825,Hired,External,Male,Y,,White,Not indicated
10026.0,63298240,Rejected; No Interview,External,Female,N,N,American Indian/Alaska Native,Not a Veteran
10026.0,85191441,Rejected; Min Qualifications Not Met,External,Male,,,American Indian/Alaska Native,Not indicated
10026.0,90541657,Rejected; No Interview,External,Female,Y,N,Black/African American,Not a Veteran
10027.0,23853290,Rejected; No Interview,External,Female,,,White,Not indicated
10027.0,36210829,Rejected; Interview,Internal,Male,,,Black/African American,Not a Veteran
10027.0,39013121,Hired,Internal,Male,,,Asian,Not indicated
10027.0,40716959,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
10027.0,53921343,Rejected; No Interview,External,Female,,,White,No Military Service
10027.0,54262712,Rejected; Min Qualifications Not Met,External,Female,Y,,White,Not indicated
10027.0,61310149,Rejected; No Interview,External,Female,,,Asian,Not indicated
10027.0,72095722,Rejected; No Interview,Internal,Male,,,Hispanic/Latino,Not indicated
10027.0,77229439,Rejected; No Interview,External,Female,Y,N,Hispanic/Latino,Not a Veteran
10027.0,79495178,Rejected; Interview,Internal,Male,,,Asian,Not indicated
10027.0,89155799,Rejected; No Interview,External,Female,,,White,Not indicated
10027.0,94842604,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
10027.0,95714681,Rejected; No Interview,Internal,Male,,,Black/African American,Not indicated
10027.0,99552135,Rejected; No Interview,External,Male,,,White,Not indicated
10032.0,10870600,Rejected; No Interview,External,Female,,,White,No Military Service
10032.0,14977651,Rejected; No Interview,External,Female,N,N,Black/African American,Not a Veteran
10032.0,24848046,Hired,External,Male,N,N,Asian,Not a Veteran
10032.0,39780363,Rejected; No Interview,External,Female,,,White,Not indicated
10032.0,40822346,Rejected; No Interview,External,Female,,,White,Not indicated
10032.0,45280579,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
10032.0,56090423,Rejected; Interview,External,Female,N,N,White,Not a Veteran
10032.0,59361310,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
10032.0,64175355,Rejected; No Interview,External,Male,,,Asian,Not indicated
10032.0,68249959,Rejected; Interview,External,Female,,,White,Not indicated
10032.0,80957434,Rejected; No Interview,External,Male,,,White,Not indicated
10032.0,83534288,Rejected; No Interview,External,Female,,,White,Not a Veteran
10032.0,92666771,Rejected; No Interview,External,Female,,,White,Not a Veteran
10032.0,94128843,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
10033.0,12959825,Rejected; No Interview,Internal,Female,N,N,Native Hawaiian/Oth Pac Island,Not a Veteran
10033.0,34749453,Rejected; No Interview,External,Male,,,Hispanic/Latino,Not a Veteran
10033.0,39678999,Rejected; Interview,Internal,Undeclared,,,Asian,Not indicated
10033.0,46113236,Rejected; No Interview,External,Male,,,Asian,Not indicated
10033.0,56970633,Rejected; No Interview,Internal,Female,,,White,Not indicated
10033.0,59193913,Rejected; No Interview,External,Male,,,White,No Military Service
10033.0,59989182,Rejected; No Interview,External,Male,,,White,Not indicated
10033.0,64284063,Hired,Internal,Male,,,Asian,Not indicated
10033.0,71068418,Rejected; No Interview,External,Male,,,White,Not indicated
10033.0,80157408,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
10033.0,97952684,Rejected; Interview,Internal,Male,N,N,White,Not a Veteran
10062.0,28308016,Rejected; No Interview,External,Female,,,White,Not indicated
10062.0,31669387,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
10062.0,36326208,Rejected; No Interview,External,Male,,,Asian,Not indicated
10062.0,45028228,Rejected; No Interview,External,Male,,,White,Not indicated
